database,service,phase,status,table_name,chinese_name,field_order,field_name,data_type,meaning,rules
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,1,id,BIGINT,租户主键,全局唯一，Java Long
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,2,tenant_code,VARCHAR(50),租户编码,全局唯一；登录时识别租户；创建后原则上不修改
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,3,tenant_name,VARCHAR(100),租户名称,
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,4,status,TINYINT,租户状态,0-禁用；1-启用
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,5,contact_name,VARCHAR(50),联系人姓名,可为空
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,6,contact_email,VARCHAR(100),联系人邮箱,可为空；敏感信息
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,7,expire_time,DATETIME(3),租户到期时间,可为空表示暂不限制
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,8,version,INT,乐观锁版本号,默认 0
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,9,deleted,TINYINT,逻辑删除标记,0-未删除；1-已删除
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,10,created_by,BIGINT,创建人用户编号,可为空
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,11,created_at,DATETIME(3),创建时间,默认当前时间，毫秒精度
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,12,updated_by,BIGINT,最后更新人用户编号,可为空
eap_user,user-service,第一迭代,已迁移,sys_tenant,租户表,13,updated_at,DATETIME(3),最后更新时间,更新时自动刷新
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,1,id,BIGINT,用户主键,
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,2,tenant_id,BIGINT,所属租户编号,所有查询必须同时带 tenant_id
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,3,username,VARCHAR(50),登录用户名,同一租户内唯一
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,4,password_hash,VARCHAR(100),BCrypt 密码摘要,禁止明文保存或日志输出
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,5,display_name,VARCHAR(100),用户显示名称,
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,6,email,VARCHAR(100),用户邮箱,可为空；租户内非空值唯一；敏感
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,7,mobile,VARCHAR(30),用户手机号,可为空；敏感
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,8,avatar_url,VARCHAR(500),头像资源地址,可为空
eap_user,user-service,第一迭代,已迁移,sys_user,用户表,9,status,TINYINT,用户状态,0-禁用；1-启用；2-锁定
